customer_id,age,monthly_income,tenure_months,num_logins_last_month,avg_session_time,support_tickets,account_balance,last_payment_amount,gender,subscription_type,region,payment_method,is_active,preferred_device,churn
23,41.0,685892.1268762689,62,30,78.79480616852912,4,51486.010338853404,36090.81356811145,Male,Enterprise,East,Transfer,Yes,Tablet,0
24,18.0,88046.17592504586,118,29,97.52549030865234,2,38391.197360677135,24463.372698841908,Female,Premium,South,,Yes,Mobile,1
25,141.0,494774.9950727234,9,23,80.62787848629227,2,92214.08168574024,37054.98120373678,Male,Enterprise,East,Transfer,Yes,Mobile,1
26,20.0,425982.53334414656,9,22,78.0254704886779,1,84581.06139095576,12621.043606125795,Female,Basic,South,PayPal,Yes,Tablet,0
27,33.0,815435.7699891651,98,26,39.92798957036001,1,62073.696726284106,19097.140049643996,Female,Enterprise,South,Transfer,No,Tablet,0
28,56.0,1060074.14025335,58,22,92.68057455357123,2,42719.79653720937,18001.838534800667,Other,Enterprise,East,Credit Card,Yes,Mobile,0
29,57.0,344213.3964858921,59,27,35.379003629842934,5,40168.67474015226,10215.120356296447,Female,Enterprise,East,Transfer,No,Desktop,1
30,49.0,856027.1545899312,75,24,24.15554802121733,1,36786.36040173526,24526.06456277424,Other,Premium,East,PayPal,Yes,Desktop,1
31,76.0,669263.6979260482,109,24,73.3251763080057,1,79782.5129713497,29174.71104753953,Female,Enterprise,South,PayPal,Yes,Desktop,0
32,21.0,397457.4386036733,65,26,54.04371995386117,2,49444.79183005072,12108.05647555132,Other,Enterprise,North,Credit Card,Yes,Tablet,0
33,50.0,970199.301035492,79,27,53.49113372146631,2,46756.52529225429,24382.278393011617,Male,Enterprise,North,PayPal,No,Desktop,0
34,76.0,1617016.5911840084,35,37,91.72212980928948,5,77403.14070356847,19244.00634456268,Male,Premium,East,Credit Card,Yes,Desktop,1
35,29.0,1242908.0782067515,86,29,49.00337181844694,3,44692.1717108975,17117.560419046287,Other,Premium,East,Credit Card,No,Tablet,1
36,42.0,547954.9362156483,94,34,63.90838258434811,0,74491.3772404241,15342.274266273433,Male,Basic,West,Credit Card,Yes,Desktop,1
37,21.0,1061832.4613046842,103,23,80.73135266613953,3,76021.07041452525,14173.778535609988,Other,Enterprise,South,Transfer,Yes,Desktop,1
38,77.0,751321.4652125768,16,23,64.16183041985873,4,1970.271759505682,16433.516425211692,Female,Premium,East,PayPal,No,Desktop,0
39,64.0,491463.1602308585,106,37,88.20513863281077,2,40763.581159125104,14812.545870339094,Female,Enterprise,East,Debit Card,Yes,Mobile,1
40,30.0,1113029.8290622833,39,24,32.568907541589724,1,28244.550068356144,41418.39810710464,Female,Enterprise,South,Debit Card,Yes,Mobile,0
41,32.0,,23,26,71.5324616993995,0,25656.48678175765,21023.72858643167,Male,Enterprise,South,PayPal,Yes,Tablet,0
42,44.0,1186808.3984459927,110,31,66.1918981673148,1,89493.44157615147,13507.346852285204,Female,Enterprise,West,Credit Card,No,Mobile,0
43,31.0,1067410.9326683078,13,30,56.831574802646976,2,53934.43255995858,13289.176602874208,Female,Basic,South,Transfer,Yes,Tablet,0
44,40.0,845353.7517424041,96,26,44.95176828571088,1,78322.43840359911,16573.871872489595,Other,Premium,West,Debit Card,No,Mobile,0
45,31.0,690757.1005945242,58,33,31.40726292357443,0,24181.74176091964,14176.663300355192,Other,Premium,East,Credit Card,Yes,Mobile,0
46,41.0,1130195.9716410215,94,36,60.474152595779984,3,46273.10360714603,22685.886885623404,Other,Premium,East,Credit Card,No,Desktop,0
47,49.0,790972.4096084087,103,35,17.89199647640349,5,34773.88759373432,23113.95663444132,Female,Basic,North,Debit Card,No,Tablet,0
48,38.0,939317.0341403406,119,28,51.699977266148295,3,71143.12032192272,-8638.523066198097,,Premium,North,Debit Card,Yes,Desktop,1
49,78.0,968144.2481984432,10,31,30.373732986077638,1,70759.28841226434,33125.67512281101,Female,Basic,North,Debit Card,Yes,Mobile,0
50,50.0,395384.9056714966,106,27,77.48742134445905,1,50450.3358470828,17818.39505786779,Female,Enterprise,East,PayPal,Yes,Desktop,0
51,68.0,522261.2058453704,18,31,68.13232395831832,4,2500.8945012418844,17625.639876350837,Female,Premium,North,Transfer,No,Desktop,1
52,34.0,,5,34,41.23639628514989,3,89458.87866651767,16095.418330469263,Female,Premium,North,Transfer,No,Mobile,0
53,76.0,900863.90868697,116,28,65.3813270978332,5,27890.125046943765,34431.25223752519,Other,Premium,West,PayPal,Yes,Tablet,0
54,38.0,-100000.0,15,28,80.81579074589334,3,45750.50488549176,26898.05696961621,Male,Premium,East,Credit Card,Yes,Mobile,0
55,20.0,648755.3966177338,27,36,48.9264850795487,2,61685.17351855297,22464.41601182101,Female,Enterprise,East,Credit Card,Yes,Tablet,1
56,58.0,1036997.1340006532,16,30,66.4936929822399,0,32972.224124302826,13218.105835390168,Male,Basic,East,Debit Card,Yes,Desktop,0
57,,1039045.7096024086,47,35,62.627673285044494,3,34813.619808750234,14619.851306831184,Male,Enterprise,East,Transfer,Yes,Tablet,1
58,77.0,550118.6229364624,116,30,66.34387986148192,2,57426.37333440585,5981.5882601474095,Male,Basic,South,PayPal,Yes,Mobile,1
59,19.0,900772.5042977356,1,32,59.13719902480633,1,41794.499505946544,14994.207019476627,Other,Basic,North,Credit Card,No,Desktop,0
60,38.0,660234.7752015403,9,34,47.90976991705569,2,71055.53303598677,-707.3506032264413,Male,Enterprise,East,Debit Card,No,Tablet,0
61,72.0,652130.6225720271,94,27,76.2359318965004,0,46592.24317186761,17157.803150782034,Other,Enterprise,South,PayPal,No,Desktop,0
62,35.0,448488.0891799042,30,33,81.86426937795167,2,75564.32779661707,20768.377502484946,Other,Enterprise,North,PayPal,No,Desktop,0
63,77.0,,37,25,77.34101988032275,4,-3484.853554860121,19584.81600674273,Female,Enterprise,West,PayPal,No,Tablet,1
64,46.0,1004065.6565330018,12,41,37.33915175573156,2,46250.839283544265,17126.732048811773,Male,Basic,West,Transfer,Yes,Desktop,0
65,24.0,504250.6359518794,5,35,27.95717237963809,2,47320.90678421849,25195.52402425397,Other,Basic,East,,No,Desktop,0
66,38.0,-100000.0,81,33,55.58131552856283,1,15548.135455554975,17107.20317460813,Other,Enterprise,North,Transfer,No,Mobile,0
67,77.0,542109.6078806687,119,39,54.27988404070125,3,68370.06482295512,29128.67032832686,,Premium,West,PayPal,No,Mobile,0
68,62.0,454573.9104614939,50,31,80.88338347924395,0,49871.521882668414,25785.966074836877,Female,Premium,East,Transfer,No,Desktop,0
69,47.0,950294.2657950942,119,22,46.175998042984986,0,33096.3800630197,-8091.022389198104,Male,Enterprise,North,Credit Card,No,Desktop,0
70,61.0,776974.3996494785,90,33,61.826084065668255,1,63898.89330589671,211.25307539822825,Other,Enterprise,West,Transfer,No,Desktop,1
71,75.0,736306.1954123075,67,36,65.89291945849294,0,98691.22183299914,15005.828917302322,Female,Premium,East,Credit Card,Yes,Tablet,0
72,18.0,820979.4040400141,32,39,33.6936759226348,1,30918.43929434661,13716.251956300235,Other,Enterprise,North,Debit Card,No,Desktop,1
73,32.0,1066060.1351935817,52,24,66.52546706467946,0,38251.58572931247,23309.323915610275,,Premium,East,PayPal,No,Mobile,0
74,77.0,1130976.130337492,84,33,103.37538854518628,2,54177.12302204616,28121.611611621927,Other,Basic,West,,No,Desktop,0
75,78.0,638237.7040481872,13,22,86.00870922801467,2,55183.92056294058,25214.36651676311,Male,Basic,West,Debit Card,Yes,Tablet,0
76,36.0,597854.5769461507,76,34,68.75537220778979,3,84379.1029107878,23428.919534309287,Female,Enterprise,North,PayPal,Yes,Tablet,1
77,65.0,240684.5542698464,110,25,46.270674925089736,0,60876.03805961509,15674.274432076609,Other,Premium,South,PayPal,No,Tablet,1
78,53.0,1069042.1592789427,83,35,42.46607359637832,2,58127.80255893008,21419.08289235765,Female,Enterprise,South,Credit Card,Yes,Desktop,1
79,22.0,607920.2904376417,109,28,53.17110369292944,2,59361.60759276931,17127.126273186223,Male,Enterprise,West,Debit Card,Yes,Tablet,0
80,69.0,1199200.1901232258,10,37,64.37192537969142,3,23655.4986913421,22203.506177376104,Other,Basic,West,Debit Card,Yes,Desktop,0
81,22.0,1049029.1024996317,22,23,75.0904265546041,1,45387.55405587279,6896.442387003532,Male,Premium,West,Credit Card,No,Mobile,1
82,74.0,394067.8332729965,12,38,81.45158829263386,2,73386.73791382977,15850.188315656813,Female,Enterprise,East,Transfer,No,Mobile,1
83,32.0,53465.00737935468,27,41,87.47506301654956,0,63138.648572790975,5330.602749057327,Other,Basic,North,Debit Card,Yes,Mobile,1
84,34.0,1129062.0353855244,116,32,96.22297890670824,3,72741.40562778524,19258.015817819552,Other,Enterprise,South,PayPal,No,Desktop,0
85,22.0,1263024.7584540776,89,27,43.67514832347568,4,68134.7438155307,30668.32300881046,Female,Enterprise,South,Transfer,No,Desktop,0
86,33.0,455306.1092786685,83,22,70.98461233075979,1,10754.2783028844,24795.083999644223,,Enterprise,South,PayPal,Yes,Tablet,0
87,55.0,1260387.9476151098,6,39,30.92035924087954,2,33442.84410253589,16640.72121917495,Female,Basic,North,Credit Card,Yes,Mobile,1
88,69.0,486993.85202723416,44,22,27.16381060604266,4,57585.64783682535,-25.75652299910871,Male,Basic,East,,Yes,Mobile,0
89,60.0,522307.9995228009,38,31,80.15142076043023,2,64685.7718832804,37041.9501969979,,Basic,North,Debit Card,No,Tablet,1
90,58.0,703349.530081976,61,28,80.10091147430681,1,86306.47868962468,24706.118407365124,Female,Enterprise,East,Credit Card,No,Mobile,0
91,21.0,1070501.5679169055,73,33,57.65557016106897,1,66600.10015618462,41996.83992444594,Female,Premium,South,PayPal,Yes,Desktop,0
92,64.0,809496.4192687047,0,44,31.32966822445545,2,30706.185559620262,41793.22216449385,Male,Enterprise,South,Credit Card,Yes,Mobile,1
93,32.0,1120437.247771374,1,37,38.49212806859353,1,68470.43581091185,-13518.002639387058,Other,Enterprise,East,Credit Card,No,Desktop,1
94,45.0,,110,30,80.68164362581888,2,56171.21214108993,9972.209146227402,Male,Enterprise,South,Transfer,No,Mobile,0
95,62.0,,16,35,91.27476317718325,1,51915.86042305176,22693.403406166308,Male,Premium,East,Credit Card,No,Desktop,1
96,22.0,1203024.465587332,34,24,71.17717041552586,3,58057.895956861656,29164.356716441675,Other,Enterprise,East,Transfer,Yes,Desktop,0
97,29.0,819943.1843612494,39,24,68.91758318449125,1,83160.05274622474,12142.270719451704,Other,Basic,East,Transfer,No,Mobile,0
98,54.0,586280.3354342093,0,30,54.16636794195031,3,39555.09546715489,39988.00412599924,Other,Enterprise,East,Credit Card,Yes,Mobile,0
99,-5.0,,109,39,88.89252759886656,3,43811.06597167521,20137.22237374712,Other,Basic,West,Debit Card,Yes,Desktop,0
100,63.0,1035729.7251506294,39,26,82.58797301807945,2,84921.67036184273,18298.093175631435,Other,Premium,North,Transfer,No,Desktop,0
101,39.0,491109.1996365458,89,39,34.049476224286124,2,56186.35201773196,29046.71699372217,Other,Enterprise,South,Transfer,Yes,Desktop,0
102,44.0,1101760.5916679113,63,34,54.54229335320076,1,46290.50869332704,21640.59652367384,Male,Enterprise,North,PayPal,No,Tablet,1
103,35.0,893402.7109330193,104,29,44.56289313279453,3,41286.16374130374,-3740.0547107389175,Female,Enterprise,South,Transfer,No,Desktop,0
104,51.0,1223008.7447331026,105,23,29.2349386026954,2,33978.4495160758,37071.29786212156,Female,Premium,North,Transfer,Yes,Tablet,1
105,32.0,666948.565631948,46,35,59.07924643337258,0,62530.63171989174,44151.67741688612,Other,Premium,South,Debit Card,No,Tablet,0
106,46.0,510951.1960788806,93,28,37.69100304757031,1,19962.27156258395,7108.066211071295,Male,Basic,East,Credit Card,No,Tablet,1
107,38.0,680376.0943809296,71,29,52.54779949194137,1,40558.78521867234,25299.231231731417,Female,Premium,North,PayPal,Yes,Mobile,1
108,40.0,833430.512054976,79,39,36.83821729658242,1,65093.63420396047,24761.523669612645,Female,Basic,North,,No,Mobile,1
109,56.0,778327.2870331851,34,37,48.69813867186794,0,55624.098711743645,17184.06156050534,Male,Premium,South,PayPal,No,Mobile,0
110,141.0,625215.7419643963,23,33,84.66146395955347,1,46580.83825164511,26496.56400007381,Male,Premium,East,PayPal,Yes,Tablet,0
111,27.0,756780.0080643571,80,26,50.11853811358522,1,50866.343807850586,37270.01200759418,Female,Basic,East,Transfer,Yes,Desktop,0
112,141.0,843036.7285120424,107,38,58.567790908624886,1,-3580.99397326752,12930.352097860869,Other,Premium,North,Transfer,Yes,Mobile,0
113,61.0,651284.655929025,21,29,87.19738635080196,3,48025.245508696855,19326.03389564068,Male,Basic,East,Transfer,Yes,Mobile,0
114,72.0,920375.0038750126,85,31,60.01063944917216,1,62197.93791593893,25183.65409777859,Other,Basic,East,,No,Tablet,0
115,,10000000.0,50,27,69.45597762265336,1,27638.41713886324,22029.406683783003,Male,Premium,South,PayPal,Yes,Tablet,0
116,43.0,544759.0116016243,28,28,94.46309902093248,2,51799.06085756137,22359.333172137547,Other,Enterprise,North,Transfer,No,Tablet,0
117,67.0,10000000.0,20,26,40.5735304925842,2,37873.8571298544,30958.127074281525,Female,Premium,South,Debit Card,No,Desktop,0
118,50.0,739314.3154069037,73,26,58.44555877247495,2,34777.6925902316,38028.824003498696,Other,Premium,East,Credit Card,No,Desktop,0
119,42.0,976663.9330244196,116,32,28.804282999812333,1,57620.45280230108,28755.50452669466,Female,Basic,South,Transfer,Yes,Mobile,0
120,,695995.7499647887,85,42,57.74314984025063,2,26496.906843023637,47177.422201355104,Other,Premium,East,Credit Card,Yes,Tablet,1
121,52.0,604032.5036770216,101,38,60.733808045799854,3,38978.11525365057,8834.255777022341,Male,Basic,South,PayPal,No,Mobile,0
122,73.0,1216916.8151208472,26,26,89.34943720051737,0,102893.86871411468,5380.463613744689,Other,Enterprise,West,Credit Card,No,Tablet,1
123,24.0,1046580.2588448836,92,22,34.568251112747426,2,70245.22619350135,15025.49250392612,Female,Enterprise,East,Transfer,Yes,Tablet,0
124,-5.0,818102.2700814221,19,25,59.9542167425504,2,35625.54127655885,12241.456635872746,Other,Enterprise,East,PayPal,No,Mobile,0
125,40.0,884321.2010437743,83,47,38.90934507827815,3,71055.54647097984,5124.606212653396,Male,Premium,North,Debit Card,Yes,Desktop,0
126,,703684.953886205,105,28,45.445318744604265,5,76973.7692299064,26560.71234681984,Other,Enterprise,South,Transfer,No,Mobile,0
127,39.0,930607.8048964224,23,30,67.49477242287475,1,61013.82043584991,19990.682225905613,Male,Enterprise,West,Transfer,No,Mobile,0
128,75.0,769576.5560734568,28,17,63.91916715196393,5,77629.46122439706,16615.456612062037,Other,Basic,North,,No,Desktop,0
129,,1216565.9455720205,23,33,20.820353051892,1,78816.61100293009,31531.176189362253,Male,Enterprise,South,PayPal,Yes,Desktop,1
130,56.0,646267.4701676132,90,24,77.1956618219392,2,65978.84173224663,33095.63643505889,Male,Basic,West,Debit Card,No,Tablet,0
131,59.0,693424.5314736371,30,44,54.46425753519297,0,54148.00292293119,15175.083227775922,,Premium,South,Credit Card,No,Mobile,0
132,46.0,974095.945293295,1,33,68.15063995497323,2,56706.27746361288,3368.5662224064363,Female,Enterprise,West,Transfer,Yes,Tablet,0
133,60.0,738717.5394372907,67,26,92.76911832931964,2,71203.15016471804,29733.35364175273,Other,Enterprise,North,PayPal,No,Tablet,0
134,36.0,856648.0250835104,13,31,62.95505824867852,2,44743.28116758479,21161.01435046041,Female,Premium,South,Debit Card,Yes,Desktop,0
135,21.0,871263.9517243807,97,40,57.40187964710179,3,33261.46122599361,5731.521325495432,Male,Premium,East,PayPal,Yes,Desktop,1
136,59.0,605043.114136422,38,24,64.26980369123622,1,3038.1420141430062,28775.76171510496,Female,Premium,South,Transfer,Yes,Mobile,0
137,74.0,525479.6539242364,16,33,69.63025185499097,2,77700.67309023484,23105.89690104148,Female,Premium,West,PayPal,Yes,Mobile,1
138,46.0,593004.9994337449,40,39,76.1156290220201,0,63922.81833150048,28179.90908972498,Other,Basic,South,,Yes,Desktop,0
139,61.0,339558.1735646183,38,24,42.57696768450903,1,12995.533060708847,19587.848421470677,Other,Basic,East,PayPal,Yes,Desktop,0
140,25.0,853788.1618247656,114,34,25.371034967414797,0,54204.61660175474,22240.426271516943,Other,Basic,West,Credit Card,No,Mobile,0
141,31.0,10000000.0,118,25,95.71951338831988,3,41114.31606588859,15604.500617680722,Male,Basic,East,PayPal,No,Mobile,0
142,37.0,807399.5404004039,4,29,102.29683568569612,2,81555.45121283489,4331.5545232606455,Other,Premium,East,Debit Card,No,Desktop,0
143,49.0,913741.8281211272,13,38,93.12150030972984,1,46716.29340893188,16737.85742629049,Other,Premium,West,Debit Card,No,Desktop,1
144,35.0,828869.2740202099,74,20,25.872790478035576,0,59076.378809621616,14961.196294930658,Male,Enterprise,North,PayPal,Yes,Desktop,0
145,19.0,612648.2852716895,55,26,75.1846799316775,1,38446.88304393013,2155.743902777868,Male,Enterprise,South,Debit Card,No,Mobile,0
146,77.0,1379741.7232965513,108,22,69.96693931418852,2,95732.34624730812,24374.29767098332,Other,Basic,North,Transfer,No,Desktop,0
147,46.0,,111,36,87.99089796574859,1,55305.984446067305,42922.88185439065,Other,Enterprise,South,Credit Card,No,Mobile,0
148,48.0,976943.764796716,64,25,79.8414927957705,1,44586.18684678917,20267.372391044628,Female,Enterprise,South,PayPal,No,Desktop,1
149,75.0,616814.6179948767,118,40,22.88698886299017,5,67164.7682835827,18275.55689112184,Female,Basic,East,PayPal,No,Tablet,0
150,51.0,956807.215326868,14,38,38.14868029559967,3,26447.520424017137,20842.54130893305,,Enterprise,East,Credit Card,No,Tablet,0
151,51.0,631844.6676475024,7,37,32.19895789644055,1,72282.59185476638,9206.576503330693,,Basic,North,Debit Card,No,Mobile,0
152,19.0,,30,28,97.51970789403788,0,52840.51564899579,15360.669902743824,Male,Premium,East,Debit Card,No,Desktop,0
153,18.0,783023.4543936944,116,29,90.65166875213878,1,24460.31040611216,30690.857476941997,Female,Premium,South,Transfer,Yes,Tablet,1
154,,863578.4578477781,119,37,500.0,3,36707.84947036976,7166.832097741703,Female,Premium,East,Debit Card,No,Mobile,0
155,64.0,814341.2563362109,98,38,65.06227413299442,2,28236.737713009534,27781.36749990657,Male,Premium,East,PayPal,No,Desktop,0
156,60.0,971829.9582215324,110,35,45.6601029435472,3,35388.8163976564,-215.0805497782676,Other,Basic,West,Transfer,No,Desktop,1
157,70.0,814706.0945785636,102,27,88.63974619964299,6,59378.20680856281,9240.00105086941,Female,Enterprise,East,PayPal,Yes,Mobile,0
158,19.0,725483.5825528402,98,41,66.26057756494872,2,55007.88914544998,14359.077969899816,Male,Basic,South,Credit Card,No,Mobile,1
159,77.0,458646.08957658807,27,32,55.23684311070098,1,59398.33300076481,38199.8132774916,Male,Premium,East,PayPal,No,Desktop,0
160,31.0,674265.3833177494,55,46,42.91336281190196,0,81589.53804119595,25587.63549161065,Female,Premium,North,Credit Card,No,Mobile,0
161,69.0,846736.6299448838,102,27,82.09795531799038,3,76816.10814858793,33928.00796806199,Other,Enterprise,East,Transfer,No,Mobile,0
162,23.0,240537.184068789,110,36,86.6399258192788,0,53872.1790440878,399.4568791981401,Female,Enterprise,South,Debit Card,No,Tablet,0
163,31.0,550400.9151672977,47,27,49.333813689121904,1,63920.24339657385,0.4551900500773627,Female,Premium,West,PayPal,Yes,Tablet,0
164,58.0,972564.3202803492,111,33,104.044190898227,2,92448.8605715282,19720.36896673764,Female,Premium,North,Credit Card,Yes,Desktop,0
165,39.0,751802.8813921078,107,30,90.64487523497507,2,67926.0278215454,25766.656664957925,Other,Premium,North,Transfer,Yes,Tablet,0
166,59.0,937234.039374896,106,22,57.48600862356645,0,54344.73802135907,27233.772241398743,Other,Enterprise,East,Debit Card,No,Desktop,0
167,23.0,387683.50862868695,40,25,64.53966508630793,3,72307.88183540563,43905.02371696831,Male,Premium,West,PayPal,No,Mobile,0
168,39.0,1135110.0396673258,44,25,57.78513465623923,4,29552.484011203087,29413.02789911966,Female,Basic,West,Transfer,No,Tablet,1
169,27.0,1121196.874932211,28,28,36.08993410498502,0,30341.883485554292,19709.756978202488,Female,Enterprise,South,PayPal,Yes,Desktop,1
170,30.0,394324.02760572766,81,35,59.546032166570775,0,58141.701211228086,19191.0951433442,Other,Premium,East,Transfer,Yes,Mobile,0
171,36.0,1150308.5283432524,2,42,84.11206551785334,6,61000.79905127238,13369.755238374608,,Basic,East,Debit Card,No,Tablet,0
172,64.0,1006837.9302317692,79,33,74.30066030070076,1,49056.56282141052,17073.470531380044,Female,Premium,South,Credit Card,Yes,Tablet,0
173,61.0,1281244.9011101937,59,39,50.23490904381593,1,49370.62841454149,20511.911396902826,Male,Basic,South,Transfer,Yes,Mobile,1
174,37.0,954095.392774947,67,29,78.74048652349879,1,38509.65662550647,16931.285653021238,Male,Enterprise,South,,Yes,Tablet,0
175,77.0,456917.5520859843,18,32,47.78906230490057,1,4980.733947600085,14005.361661149043,Male,Enterprise,North,PayPal,Yes,Mobile,0
176,55.0,116982.1759057718,113,34,53.40294592251628,2,7967.053167809623,19225.91045544475,Female,Enterprise,East,PayPal,Yes,Desktop,0
177,67.0,649847.6137807844,56,38,80.72844895642284,1,23583.521232081548,24320.3138870158,Female,Basic,North,Debit Card,No,Mobile,0
178,54.0,970021.939583816,118,35,85.23825892135537,2,71528.90086451665,29439.859103132207,Female,Enterprise,South,Transfer,No,Tablet,0
179,24.0,765949.3666682102,114,25,21.935312299190983,4,55483.04683636684,14904.252281585386,Other,Enterprise,East,PayPal,No,Tablet,0
180,42.0,1128488.1661652804,56,26,49.68482054553599,0,14424.385566386603,23633.30243233721,Other,Enterprise,North,Debit Card,Yes,Desktop,0
181,26.0,372102.24561069097,53,29,101.28728031885578,1,60941.38070262763,3587.091268607899,Female,Premium,South,Debit Card,Yes,Mobile,0
182,43.0,1027841.6780063104,73,28,59.6838743939343,3,79029.45387521118,22920.494115434736,Other,Basic,North,PayPal,No,Desktop,1
183,,149672.41873812326,103,32,80.88932500140226,1,49910.58608118723,10649.337415572749,Female,Basic,East,Credit Card,No,Mobile,1
184,72.0,860774.5711625954,40,32,52.29723428786328,3,62422.63714802144,32040.986044035923,Female,Enterprise,West,PayPal,No,Mobile,1
185,79.0,1333671.8336284305,119,32,35.958609091177,0,19281.068924151725,14283.38066850814,Female,Basic,North,PayPal,Yes,Desktop,1
186,,10000000.0,116,33,86.17208356932758,2,22624.42676917099,14824.154934945298,Other,Basic,North,Transfer,No,Mobile,0
187,76.0,753148.560407249,93,25,59.31416900473723,4,28073.241223130608,9043.647974880932,Other,Basic,East,Transfer,Yes,Tablet,0
188,41.0,741819.8570844053,47,27,49.3239062905202,5,42676.43538633982,12506.847856889508,Male,Enterprise,North,PayPal,No,Desktop,0
189,35.0,869811.53156793,85,30,30.710416643408323,2,76759.41721881417,22545.178343560565,Male,Premium,West,Credit Card,No,Mobile,1
190,48.0,556722.9430400009,19,30,57.26308680604074,2,68823.65471401438,17498.726634634128,Other,Enterprise,South,Credit Card,No,Desktop,1
191,,442109.93484693824,105,30,95.22277258890446,2,30248.52293133448,7439.837328553625,Other,Enterprise,South,Credit Card,Yes,Desktop,0
192,34.0,1065717.981506015,57,31,88.36688970151614,2,66956.35224719782,7001.274619986802,Other,Premium,South,PayPal,No,Mobile,0
193,37.0,865053.3324281315,11,32,54.39650063756135,3,56211.34541770311,16021.907812425165,Female,Enterprise,West,Debit Card,Yes,Mobile,0
194,58.0,432954.0003149812,116,26,41.225574840970765,2,77591.7291043654,21370.488533199816,Other,Premium,West,PayPal,No,Desktop,0
195,23.0,,70,37,500.0,1,27621.40824140902,24697.974899940968,Female,Basic,East,PayPal,No,Mobile,1
196,30.0,684217.0401877861,53,27,81.06018545928191,2,39506.620215916046,24327.0009690671,Other,Basic,North,PayPal,Yes,Tablet,0
197,56.0,357320.9289750411,40,22,43.08813754728936,6,61593.32703522366,12469.715649177097,Other,Basic,South,Credit Card,Yes,Tablet,0
198,57.0,673782.9410611608,50,41,63.66058914515123,0,33869.65298783281,16801.908300259318,Female,Premium,South,Credit Card,No,Mobile,0
199,60.0,490664.3118585473,9,33,72.62286067100197,4,5674.447495514127,27818.55397148331,Male,Enterprise,West,Credit Card,No,Tablet,0
200,42.0,580819.5958416278,27,33,80.29205013165792,2,41129.18262333416,19384.86200941209,Male,Basic,North,Debit Card,No,Mobile,1
201,49.0,1040811.8388560582,100,40,64.26862934633785,2,56774.445903021566,23641.84553392077,Male,Premium,East,PayPal,Yes,Tablet,1
202,33.0,710179.0211513687,6,26,56.1113888232905,2,57033.110574140366,20859.90853489153,Other,Premium,West,Debit Card,No,Tablet,1
